Loan Amount,Funded Amount,Funded Amount Investor,Term,Interest Rate,Grade,Sub Grade,Employment Duration,Home Ownership,Verification Status,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Initial List Status,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Application Type,Last week Pay,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit,BAD
14843,9742,12102.11913,58,26.07863146,A,B4,OWN,72272.79827,Source Verified,15.36898297,0,1,23,0,2650,76.76347918,20,f,366.5177025,0.071555336,7.418227587,1.263188674,0,INDIVIDUAL,75,29,39757,21426,0
34880,7363,12724.24728,59,13.26482088,C,B1,MORTGAGE,66636.19002000001,Source Verified,21.40015102,0,0,13,0,1865,45.67842442,17,w,55.52681548,0.002931478,0.341393692,0.635955246,0,INDIVIDUAL,22,40,10603,7640,0
27241,9362,23149.86232,59,16.57005757,B,A2,RENT,80914.4655,Not Verified,13.82775892,0,0,10,0,350,41.53274172,26,w,1071.597705,0.040612356,2.114222361,0.259826936,1,INDIVIDUAL,60,20,251238,49041,0
20156,33513,6195.216364,59,17.90245869,D,C3,OWN,68692.98455,Not Verified,32.86073388,1,0,16,0,2984,62.8988281,18,f,1876.540717,0.069592535,8.326521065,1.379309694,0,INDIVIDUAL,72,37,503708,5235,0
2856,4926,32822.97497,59,11.10666872,D,D3,RENT,64994.36029,Source Verified,37.07264576,0,0,27,0,27288,54.58780965,18,w,3608.585738,0.068082055,3.850734002,1.0123883340000002,0,INDIVIDUAL,26,47,16937,4710,0
15941,11454,12557.40755,59,9.200664991,B,C3,MORTGAGE,61637.95763,Source Verified,23.80942708,0,0,13,0,4510,31.06960275,7,w,1118.482518,0.069497163,8.872744958,1.085422363,0,INDIVIDUAL,124,37,56541,6740,0
4597,30906,13618.813719999998,59,6.486512199,A,B2,RENT,130436.1294,Source Verified,28.79866927,1,0,7,0,2296,71.71261884,14,w,2409.968198,0.02494259,0.301308847,0.878619323,0,INDIVIDUAL,124,26,142511,45281,0
3688,26864,8939.882484,59,16.93238609,C,F1,OWN,132905.5195,Source Verified,23.62251107,1,0,9,0,11736,84.04498324,20,f,378.4745781,0.045038817,0.105370595,0.62172116,0,INDIVIDUAL,96,49,286031,43248,0
18668,4236,8058.340523999999,59,8.612300418,E,F2,RENT,40867.75545,Source Verified,24.96308991,0,0,5,0,8590,35.77996181,5,w,1189.0185,0.082342456,1.187502376,0.202072967,0,INDIVIDUAL,22,34,308388,13146,0
6971,12858,14360.05583,59,12.681503,E,E4,RENT,63434.54362999999,Source Verified,30.2550089,0,0,14,0,5200,0.072293569,13,f,191.9242123,0.005424418,4.245144088,1.077936595,0,INDIVIDUAL,72,20,162390,8089,0
6509,16078,5944.254589,59,15.03221987,A,B5,OWN,78172.64922,Source Verified,12.00149494,0,1,29,0,20813,1.139576322,14,w,5509.520072,0.058919198,2.8385235210000004,0.470220412,0,INDIVIDUAL,37,49,95591,2950,0
11774,11320,21833.3358,59,13.13890148,E,C5,RENT,59927.13299,Source Verified,31.08282118,0,0,34,0,4433,27.321406300000003,6,w,350.5015361,0.038667564,0.519792218,1.116425215,0,INDIVIDUAL,109,41,75903,14316,0
7019,17829,4135.518279999999,59,9.256443832,C,D1,MORTGAGE,65670.32049,Not Verified,35.493832,0,0,16,0,9900,45.70293715,10,f,1323.390785,0.023481491,3.4088583260000003,1.4497106000000002,0,INDIVIDUAL,130,27,38345,6706,0
5150,10918,11671.70131,58,17.03906423,C,B1,OWN,50306.31061,Not Verified,27.03765821,1,0,18,0,17133,70.98463629,24,f,2815.477347,0.036812959,3.3662953960000004,0.068787329,0,INDIVIDUAL,158,46,37347,40760,0
15572,7035,26803.04039,59,6.96790997,B,C2,MORTGAGE,27848.53989,Verified,18.423966600000004,1,0,19,0,9421,76.99931609,24,f,392.7371976,0.0814948309999999,0.2764506989999999,0.149469378,0,INDIVIDUAL,155,60,180401,11077,1
12225,8483,8197.159626,59,13.70931212,D,E1,MORTGAGE,74560.09571000001,Source Verified,11.31397212,0,0,10,0,28773,57.59648966,28,w,2805.414547,38.22766664,0.216205867,1.157239731,0,INDIVIDUAL,155,32,258254,35545,0
15652,8349,14438.86661,58,12.45824911,B,B2,MORTGAGE,41472.377510000006,Verified,13.99510406,0,2,22,0,3930,60.74806993,19,w,500.05631560000006,0.023484167,7.058268654,0.030542186,0,INDIVIDUAL,43,36,222775,32418,0
17613,16670,17012.915090000002,59,13.26272443,B,F2,MORTGAGE,54203.99058,Verified,23.20600732,0,0,29,0,432,79.07568206,16,w,1519.552787,0.094220767,5.109682623,0.402088162,0,INDIVIDUAL,115,32,71172,1513,0
6712,20278,23747.96651,59,9.753530445,B,C4,RENT,195168.7207,Source Verified,30.40117258,1,1,13,0,986,64.29447173,24,f,2528.742936,0.014059516,4.0363149080000005,1.09932432,0,INDIVIDUAL,15,22,416269,1803,0
9835,33032,17048.816069999997,59,6.977877632,D,D4,MORTGAGE,330221.733,Verified,20.47562087,0,2,18,0,9777,47.81565224,22,w,1730.346057,0.033074456,2.148956012,0.309583252,0,INDIVIDUAL,37,49,40753,9705,1
10967,13700,11098.34827,59,10.03276006,B,B2,MORTGAGE,89519.74731,Verified,13.41950937,0,0,13,0,9591,9.196285911,22,w,1670.626907,0.00707757,6.202759706,0.777792053,0,INDIVIDUAL,157,31,366566,7408,0
11297,22644,10768.6673,59,11.10206193,D,D2,RENT,65107.502360000006,Not Verified,18.9472102,0,0,23,0,663,73.67638552,22,f,585.4331422,0.008134744,1.664178905,0.842788553,0,INDIVIDUAL,111,47,238288,3576,0
32709,12593,11761.80636,58,7.744475912,B,E5,MORTGAGE,77102.99273,Source Verified,26.06534678,0,0,9,0,716,46.08819579,18,w,4139.967748,0.016756368,2.904123163,0.2918566469999999,0,INDIVIDUAL,92,34,47209,99276,0
7808,10468,14636.12149,59,10.17876456,A,B2,MORTGAGE,74607.72926000001,Source Verified,38.69544568,0,0,14,0,7465,18.71409981,21,w,698.6154575,0.061830598,1.002808168,0.979656426,0,INDIVIDUAL,50,5,190274,24050,0
20672,15623,9068.100338,59,5.51468536,C,D3,MORTGAGE,62528.83319,Verified,26.66957838,1,2,14,0,1579,57.86315592,14,w,76.79301998,0.054973346,2.409819918,0.667758999,0,INDIVIDUAL,7,56,34076,17621,0
28662,19865,21499.65213,59,10.9155356,A,C1,RENT,57433.93828,Verified,33.11394705,0,0,15,0,4259,70.21496020000001,25,w,312.3982459,0.0491829509999999,2.365224947,0.5335023210000001,0,INDIVIDUAL,126,318,347363,21428,0
13909,13794,8448.668436,59,10.72552545,A,C4,RENT,44209.90878,Verified,20.89988475,0,0,29,0,7018,35.402613200000005,18,w,1692.718179,0.032251439,0.814554413,0.320909735,0,INDIVIDUAL,107,37,260144,39387,0
15381,5166,7320.428806,59,12.98412661,B,A3,RENT,81551.66764,Not Verified,25.94491548,0,0,12,0,8214,42.28248039,28,w,2705.333588,0.036263906,1.7947296030000002,0.467114027,0,INDIVIDUAL,70,11,475452,9305,0
14969,22536,12367.56806,59,12.19345433,B,B4,OWN,28563.73934,Source Verified,23.88527111,0,0,19,0,14083,25.14366908,15,w,3589.056361,0.032757191,1.510009283,0.507321904,0,INDIVIDUAL,20,11,137403,3795,0
14020,21386,26254.00254,58,9.200330998,C,D1,MORTGAGE,80581.41544,Verified,39.44800693,0,0,9,0,13276,42.59992704,11,f,602.76129,0.020037048,6.190867381,0.315121559,0,INDIVIDUAL,11,48,79077,34411,0
9861,12825,10300.30693,58,15.61438628,A,D2,MORTGAGE,45818.40801,Source Verified,28.74578268,0,0,8,0,2529,93.61967726,17,w,748.0380426,0.017903458,4.194400932,0.1994983089999999,0,INDIVIDUAL,27,23,126941,35027,0
30328,6471,18104.05589,59,6.880435627000001,D,C5,RENT,31584.65422,Not Verified,14.28259665,0,0,12,0,7721,8.917882176,26,w,543.6432675,0.00920341,5.206828161000001,0.505901009,0,INDIVIDUAL,27,42,77539,15392,0
12010,32176,9223.69481,59,15.22857689,B,C3,MORTGAGE,38689.86942,Source Verified,22.52451232,7,0,12,0,479,51.1095166,15,w,770.0224677,0.013562505,5.170540975,1.304507537,0,INDIVIDUAL,12,23,105577,16793,0
30514,21230,10838.57152,58,6.040945213,C,D2,MORTGAGE,95408.88412,Verified,20.6153873,0,0,24,0,1633,12.16768339,9,f,785.2717521000001,0.057740169,3.809369305,1.256320742,0,INDIVIDUAL,57,33,301745,17449,1
31500,18983,25809.87485,58,20.38721544,B,A1,OWN,135456.0454,Not Verified,33.26374674,0,1,10,0,1508,53.00927862,29,f,541.2006739,0.050480221,3.312554269,1.043051883,0,INDIVIDUAL,38,17,69990,7537,0
20754,13091,10390.33364,59,16.69166496,D,B2,OWN,42541.3058,Source Verified,25.11473187,0,0,35,0,75,30.76941957,36,f,2525.143627,0.029641252,2.886899868,0.971084459,0,INDIVIDUAL,85,57,323963,113864,0
6161,16323,10430.55182,58,10.91552965,C,C1,MORTGAGE,61811.63959,Not Verified,29.79611293,0,0,10,0,2116,58.73580151,25,f,2031.327126,0.1071041819999999,0.14497112,1.445965675,0,INDIVIDUAL,159,62,26168,2375,1
20063,23917,11769.25777,59,13.03993396,B,D1,MORTGAGE,38174.34851,Verified,22.25992888,0,0,18,0,4666,16.85359478,14,w,970.8674022,0.003476427,4.629966641,0.576161073,0,INDIVIDUAL,20,30,16662,13710,0
12718,32369,7359.488906,59,11.83851379,B,B3,RENT,81856.45577,Source Verified,24.81304538,2,0,8,0,5725,18.57087159,5,w,3073.417977,0.029217486,0.926224366,0.920570077,0,INDIVIDUAL,149,4,189353,28682,0
22755,16657,20152.46598,59,13.79606844,B,D3,MORTGAGE,114132.5442,Not Verified,13.64959211,0,0,12,0,1996,29.6943683,8,w,3496.2854020000004,0.029156022,2.089783527,0.3934569129999999,0,INDIVIDUAL,89,36,157762,28151,0
29617,9081,8730.146158,59,14.65651821,B,B5,MORTGAGE,88448.26079,Verified,28.1501733,0,0,13,0,6291,43.84304013,16,w,730.4770905,0.006217569,5.822311527,0.580471405,0,INDIVIDUAL,119,47,101804,75379,0
18959,20827,11144.37744,58,9.574285314,D,A4,MORTGAGE,207162.4947,Source Verified,22.39924766,0,0,8,0,3731,86.29352745,20,f,468.6887771,0.055267113,3.799492222,0.211540983,0,INDIVIDUAL,33,38,267091,80468,0
31573,28547,16216.70465,58,14.0050532,B,A4,RENT,105537.1287,Verified,12.52447579,0,0,28,2,6069,73.59453202,22,w,1138.502578,0.017197986,4.260844129,1.116352899,0,INDIVIDUAL,106,44,11206,9276,0
16954,8012,21240.93502,59,5.570410079,E,B1,MORTGAGE,64890.41194,Verified,27.858568100000003,0,1,32,0,1901,86.73753904,8,f,8163.330238,0.024783847,6.248905309,0.589741515,0,INDIVIDUAL,14,34,89808,10165,0
11341,16117,23977.9324,59,10.53250988,B,C4,MORTGAGE,49638.51565,Source Verified,15.9665014,1,0,19,1,186,66.49971070000001,18,w,2228.824409,0.068396573,0.739493917,1.131614399,0,INDIVIDUAL,87,10,20364,12279,0
13047,11282,7340.528616,59,11.77921532,B,B5,RENT,53643.27296,Not Verified,10.50718457,0,0,12,0,13705,55.89663727,17,f,1878.570511,0.063214803,2204.972391,0.369258949,0,INDIVIDUAL,27,1442,55845,9342,0
17496,20205,13977.80759,59,11.6655323,C,B2,OWN,84375.97988,Verified,32.40187096,0,0,10,0,1144,31.88024325,10,w,1119.399513,0.024948888,3.118939366,1.257414115,0,INDIVIDUAL,90,54,139440,4263,0
31234,7583,7976.974601999999,59,6.437889531000001,C,D3,RENT,230192.3986,Source Verified,24.13808363,0,2,20,0,7671,60.35876337,39,w,621.8964539,0.0835766999999999,4.943270976,0.422361694,0,INDIVIDUAL,109,51,192706,2528,1
22692,26137,8898.550994,59,9.672529514,B,C3,MORTGAGE,79909.94838999999,Source Verified,19.06678555,1,0,9,0,4038,70.72535926,8,w,10269.31286,0.02876761,7.737071967,1.026208294,0,INDIVIDUAL,42,7,163141,25313,0
27915,19722,5433.041663,59,10.20371154,B,F2,MORTGAGE,52697.59105,Source Verified,21.05558269,0,0,12,0,11259,76.96759808,18,w,458.4735433999999,0.069707647,0.232381808,0.303330387,0,INDIVIDUAL,112,7,67882,8240,0
26643,10155,17174.59733,58,18.51570448,C,B4,RENT,59434.32187000001,Not Verified,32.75882193,0,0,21,1,2833,6.541519696,24,f,788.5763982999999,0.0150206619999999,4.77153624,0.175916417,0,INDIVIDUAL,29,1202,276210,8931,0
20213,17191,12361.86047,59,12.35899095,D,A2,RENT,73644.00641,Source Verified,28.98529476,0,0,12,0,3970,46.61245876,15,w,108.4398743,0.128157791,2.6989307910000004,0.6066921789999999,0,INDIVIDUAL,4,22,316631,9799,0
32680,4728,9334.1341,58,6.478966711,C,C1,RENT,49413.82252,Not Verified,33.49223202,0,0,22,0,4807,64.83873769,14,w,3192.9976690000003,0.013565033,2.059845301,0.075824788,0,INDIVIDUAL,123,528,293252,20555,1
20706,16012,16724.33336,58,10.75904552,D,C5,RENT,40944.47059,Source Verified,15.47160733,1,0,25,0,12138,40.91174405,16,w,3384.606426,0.054625923,2.221418173,0.242951678,0,INDIVIDUAL,61,12,211576,29326,0
27899,21658,10220.52749,59,10.38333337,A,A4,MORTGAGE,131910.1844,Verified,13.12532174,2,0,9,0,24392,20.56110865,19,w,2276.930725,0.10794889,2.600557566,0.305010366,0,INDIVIDUAL,66,24,81672,3996,0
18707,20673,5872.279245000001,36,8.156952077,E,A5,MORTGAGE,107311.8693,Verified,11.0316015,0,0,17,0,1872,93.2156978,13,f,149.3545705,0.021690233,4.5464901410000005,0.819446427,1,INDIVIDUAL,111,1,184341,21733,0
13438,6871,15634.38338,59,10.75725702,E,C2,RENT,75726.87752000001,Verified,26.69935871,0,0,15,0,5186,64.59639379,12,f,163.8110571,0.00981587,0.260056648,0.91619087,0,INDIVIDUAL,90,39,57568,4095,1
16867,16195,17032.990319999997,58,7.605879448,B,B3,MORTGAGE,65271.28735,Source Verified,15.76828491,1,0,27,0,2902,63.74469877,13,w,120.794834,0.029864134,8.92618243,1.326563952,0,INDIVIDUAL,49,42,83505,23610,0
5895,12056,8564.795658,59,8.265441908,B,A3,OWN,63987.98289,Not Verified,32.47095731,0,0,5,0,6015,88.08100904,9,w,1348.542744,0.0515946209999999,0.361024966,1.116445977,0,INDIVIDUAL,16,22,258579,33782,0
19345,31041,20598.27445,59,11.20049988,E,B4,RENT,55505.18202000001,Not Verified,32.45554968,0,0,8,1,8308,41.75962946,10,w,643.0333582000001,0.061478499,0.2163813789999999,30.55726091,0,INDIVIDUAL,8,29,307814,51295,0
6985,12129,13240.52518,58,9.362155257,E,B4,MORTGAGE,57801.87099,Verified,31.88859915,0,1,9,0,11703,68.30036469,17,w,661.3535074,0.050725433,3.08185633,0.49910032,1,INDIVIDUAL,17,32,26773,32532,0
18398,8249,6605.044601,59,6.515062792,A,A5,RENT,70009.85696,Source Verified,36.98454108,2,0,14,0,1065,6.294166528,21,w,3236.435119,0.021589892,4.122620128,0.769472375,0,INDIVIDUAL,26,46,400063,6102,0
15456,16897,11498.43233,59,17.51561901,C,A5,MORTGAGE,80879.15471,Verified,15.24569794,0,0,9,0,8000,65.0322096,10,w,374.0838114,0.025242654,5.403458457999999,19.76239904,0,INDIVIDUAL,78,11,19509,13756,0
19197,17379,6588.773606000001,58,8.598788532,B,B3,RENT,62113.19908,Verified,16.83334919,0,0,12,0,2207,54.27450711,16,f,1349.224769,0.07022577,8.757287199999999,0.990372742,0,INDIVIDUAL,92,37,603900,55370,0
7798,25701,11788.50386,59,16.82680742,E,F2,RENT,89837.93458,Not Verified,22.08806368,0,0,20,0,9013,50.5009703,24,w,1034.73638,0.092597142,4.375660147,0.2406781089999999,0,INDIVIDUAL,0,9,34179,33112,0
8933,34445,12063.7701,58,7.90460467,C,A5,OWN,52561.80437,Source Verified,28.21057009,1,0,19,0,2464,21.96447789,19,f,4199.640405,0.053524355,6.852533685,1.366869223,0,INDIVIDUAL,71,23,110286,4760,0
7645,17574,22040.12185,36,13.36378858,C,F3,RENT,39790.40332,Verified,11.24444101,1,1,13,0,736,97.00741011,31,f,1485.023994,0.075635694,2.764274898,1.127531687,0,INDIVIDUAL,93,42,323976,34941,0
21667,9353,17487.01186,59,13.393525699999998,A,C4,MORTGAGE,59034.26154,Source Verified,30.77155803,0,0,30,0,17382,47.77445327,28,f,3981.835305,0.022643316,0.202122622,0.321715622,0,INDIVIDUAL,81,52,155272,21812,0
24904,25434,12089.01397,58,5.469859893,A,D5,MORTGAGE,62526.12791,Source Verified,8.388738411,0,0,8,0,4522,51.88842983,10,f,500.3070127,0.059193979,3.717387147,1.038141502,0,INDIVIDUAL,109,47,83167,6878,0
12827,33643,9379.281552,58,9.102727161,C,B1,RENT,87381.94567,Not Verified,28.46312018,0,0,10,0,1562,45.16388856,27,w,348.02543660000003,0.072020907,833.5048861,0.63248798,0,INDIVIDUAL,61,26,235367,7056,0
23205,9631,13118.35249,59,15.02221969,E,B2,RENT,67584.86247000001,Verified,37.30239461,0,0,12,0,5876,56.40889475,20,f,825.4499941,0.076541938,3.724951558,0.68521436,0,INDIVIDUAL,79,57,91428,19776,0
14917,13423,11885.88668,59,13.11677313,C,B4,RENT,77872.30037000001,Source Verified,18.12028467,1,0,13,0,5772,58.46950589,20,w,859.0193864,0.0588109359999999,0.210935008,0.3974110879999999,0,INDIVIDUAL,17,3,192219,9342,0
15876,5949,20487.07912,59,11.92259443,B,C2,MORTGAGE,36267.78614,Not Verified,31.28164173,0,0,23,0,973,48.98962721,31,f,1598.96074,0.030261561,2.760969123,0.454435553,0,INDIVIDUAL,158,11,257483,29081,0
2848,5068,9506.524616,59,11.44215881,E,B2,MORTGAGE,141336.5899,Not Verified,24.52718461,1,0,10,0,17602,76.49371211,34,w,1248.342363,0.0256112779999999,1.687410794,1.27965447,0,INDIVIDUAL,61,48,193885,6618,0
15950,21617,14619.36275,58,9.916019991,A,E5,MORTGAGE,118045.498,Source Verified,35.75582224,1,0,20,0,1066,26.78749124,29,w,10430.75932,0.124997584,7.256351267999999,0.746829266,0,INDIVIDUAL,79,35,205850,6803,0
29951,8500,16660.60141,58,6.051720334,B,D4,MORTGAGE,43489.26699,Source Verified,11.6479059,1,0,14,0,18547,10.38365699,6,f,6379.044598,9.554257048,2077.511707,0.717908185,0,INDIVIDUAL,112,20,51428,33243,0
26284,25969,6857.445881000001,58,11.47626582,A,C1,MORTGAGE,96429.48362,Source Verified,7.252535534,0,1,18,1,13818,26.82995536,26,w,2635.786366,0.062585639,0.7024436,0.635154578,0,INDIVIDUAL,21,12,99877,50256,0
12874,22194,22073.27945,58,10.52901256,C,B5,MORTGAGE,48959.12695,Verified,22.01727923,1,0,18,0,14603,15.48155019,15,w,698.3946654,0.022005596,0.384871657,0.8315649759999999,1,INDIVIDUAL,44,21,25868,7050,0
14145,11955,32952.181860000004,59,13.36848548,A,D1,OWN,41648.76264,Verified,16.33548003,0,0,11,0,12748,84.61975140000001,7,f,2457.191762,0.073835386,5.6331460810000005,0.517224838,0,INDIVIDUAL,63,31,253840,7837,0
10381,7458,7168.171662999999,59,15.36095426,A,F1,RENT,76612.41885,Verified,32.51218072,0,0,27,0,13592,41.50092247,19,w,1832.062698,0.01101222,8.335413345,0.400953849,0,INDIVIDUAL,48,23,286481,39920,0
3923,13551,6877.218348,59,10.12432222,F,A1,MORTGAGE,52304.44191,Not Verified,13.95452153,0,0,30,0,9227,55.15825072,32,f,2876.200832,0.006020059,247.7502888,1.151205768,0,INDIVIDUAL,82,18,5723,38861,0
21480,22309,15051.68639,58,8.613949335,A,B4,MORTGAGE,73280.89526,Verified,21.78871245,0,2,29,0,5398,8.752838125,33,w,269.21067610000006,0.055179539,2.244598416,0.638356374,0,INDIVIDUAL,35,32,68499,30060,0
6049,8227,32395.02226,59,11.99877802,D,E4,MORTGAGE,77938.65775,Source Verified,17.77726209,0,0,14,0,7645,3.89911041,9,w,1043.787001,0.071946447,2.920164402,1.135470481,0,INDIVIDUAL,118,48,205629,18215,0
16529,10131,12361.607,58,15.20243,E,E3,MORTGAGE,17214.42082,Source Verified,19.84985858,0,0,13,0,2377,59.16044521,15,w,9985.99838,0.024339179,0.606706875,0.819604065,0,INDIVIDUAL,9,39,276410,3591,0
3450,22741,14369.322230000002,59,8.273487569,A,A4,RENT,55226.14989,Verified,24.68342748,0,0,16,0,1462,56.87135333,24,f,880.7044262000001,0.0544363859999999,5.17958757,1.312622105,1,INDIVIDUAL,6,32,228775,16245,0
15419,26882,22294.38848,59,14.88272053,B,C5,MORTGAGE,32474.98324,Verified,12.8643868,0,0,11,0,6474,42.08802395,16,w,9428.936517,0.058624155,0.1761669,1.325760777,0,INDIVIDUAL,77,10,359560,5068,0
6503,32775,14206.41357,58,13.54736408,B,C3,MORTGAGE,86751.69986000001,Source Verified,35.79913536,0,0,13,0,5299,82.08344405,20,w,2114.166899,0.067144245,4.255052699,0.329566645,0,INDIVIDUAL,41,5,199789,25225,1
25735,8572,27588.22274,59,7.696370175,B,C1,RENT,71557.05421,Not Verified,29.40002399,0,0,14,0,21250,85.04533166,12,w,1647.587251,0.037495962,1.766542994,1.094717083,0,INDIVIDUAL,54,43,80865,51432,1
14566,9434,20665.08557,59,18.73856402,B,B1,MORTGAGE,131792.0965,Source Verified,29.55326673,0,0,13,0,29940,45.85447952,14,f,1192.037748,0.014960385,2.295345512,0.885165214,0,INDIVIDUAL,34,35,292874,14232,1
5623,27048,9880.404715,59,17.98861718,E,A5,MORTGAGE,69441.07179,Verified,27.51148653,0,0,13,1,12475,46.06617785,20,w,7157.428335,0.053204971,1.854555859,0.2864936489999999,0,INDIVIDUAL,12,37,177333,7809,0
24129,33570,11371.67763,59,13.00186451,A,C3,RENT,38100.24577,Verified,34.89432647,0,1,8,0,1057,47.35181077,16,f,1462.382542,26.47208164,0.387272196,1.027473359,0,INDIVIDUAL,136,31,237276,11261,0
31296,16432,21473.77945,59,10.41118386,A,D2,MORTGAGE,113273.678,Source Verified,11.19548123,0,0,11,0,15157,90.61502914,18,f,1117.893018,0.0281859579999999,6.283020864,1.123142915,0,INDIVIDUAL,5,42,164808,13884,0
6547,11154,14918.33573,59,12.1753077,B,D1,MORTGAGE,127198.0474,Verified,31.56508602,1,0,13,0,9175,37.71563287,5,f,2061.756448,0.0856968519999999,9.569951756,0.643888091,0,INDIVIDUAL,30,47,185485,30487,0
18823,8784,24508.50039,59,11.09472647,B,B4,MORTGAGE,59733.39068,Verified,18.63707158,1,2,15,0,1499,48.13553967,16,w,675.0636796,0.002364738,3.764142549,0.02687887,0,INDIVIDUAL,52,28,344696,33593,0
31049,4311,20754.49924,58,9.586647002,B,A5,MORTGAGE,133516.2333,Source Verified,9.271206674,0,0,29,0,48355,58.21989033,14,w,592.6855127,0.087794601,4.962793254,0.8264974820000001,0,INDIVIDUAL,30,401,174463,2398,1
9264,11158,10173.93228,59,12.92602897,A,E3,RENT,121369.8314,Not Verified,11.64428189,0,0,11,0,684,25.92402466,11,w,452.9617642,0.095025612,4.369609863,0.846256928,0,INDIVIDUAL,128,919,427725,8654,0
22670,29868,15952.12539,58,13.39806864,B,B4,RENT,133074.5994,Source Verified,23.08152026,2,0,12,0,7378,79.45641119,21,f,4407.179563000001,0.044765448,0.963020963,0.837135883,0,INDIVIDUAL,46,34,97762,25980,0
12637,23876,13032.68478,58,11.66682866,A,D4,MORTGAGE,51184.93352,Not Verified,20.3319618,1,0,11,0,2392,54.04791436,29,w,989.4353003,0.033312634,7.223738224,0.978415505,0,INDIVIDUAL,80,37,142704,26808,1
16944,27143,11284.15128,59,20.14943399,G,C3,MORTGAGE,102811.1723,Not Verified,7.664169955,0,0,36,1,3646,76.08518045,14,f,313.4527659,0.0307934479999999,5.121491567,0.790083285,0,INDIVIDUAL,89,295,31822,73153,0
16104,18765,23091.7705,58,14.36818644,B,G4,MORTGAGE,38859.06446,Verified,33.14331383,1,2,13,0,12412,81.81738288,7,w,775.1379962,0.03882241,5.03799723,0.437722891,0,INDIVIDUAL,16,44,22407,91456,0
23826,22778,19482.50778,59,11.36322782,B,B5,RENT,62819.401970000006,Source Verified,18.24851235,0,0,10,1,20995,100.4664384,7,w,1138.497669,0.086667151,6.445275508,0.928569464,0,INDIVIDUAL,145,41,53984,19157,0
8611,8642,9966.529345,59,7.87648332,B,A5,RENT,83284.94207,Source Verified,28.42131973,0,0,27,0,30552,68.4913512,27,w,274.566985,0.085333508,0.511796489,0.064528734,0,INDIVIDUAL,41,47,188782,4524,0
8936,21263,18075.2076,58,12.14100135,B,A3,MORTGAGE,40545.27254,Source Verified,32.46639626,0,0,15,0,5590,21.56920026,21,w,1042.593886,0.117180869,3.524610199,0.167428109,0,INDIVIDUAL,68,18,100661,8918,0
