loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,BAD,dtir1
cf,Joint,pre,type1,p1,l1,nopc,216500,4.375,0.265,1398.0,360.0,neg_amm,not_int,not_lpsm,238000.0,sb,pr,home,1U,4200.0,EXP,619,EXP,25-34,not_inst,90.96638655,North,direct,0,41.0
cf,Joint,nopre,type1,p3,l1,nopc,656500,4.18,-0.0843,1448.76,360.0,not_neg,not_int,not_lpsm,1238000.0,sb,pr,home,1U,13140.0,CRIF,744,EXP,45-54,not_inst,53.02907916,North,direct,0,43.0
cf,Sex Not Available,nopre,type1,p4,l1,nopc,306500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,7200.0,CRIF,687,EXP,45-54,to_inst,66.92139738,south,direct,1,37.0
cf,Female,pre,type1,p4,l1,nopc,356500,3.99,0.2571,1250.0,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,3780.0,CRIF,660,CIB,55-64,to_inst,58.63486842,south,direct,0,37.0
ncf,Male,nopre,type1,p2,l1,opc,256500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,int_only,not_lpsm,529023.0658963555,sb,pr,home,1U,6840.0,EQUI,872,EXP,65-74,to_inst,70.53786977721364,North,direct,1,37.05157872662454
cf,Female,nopre,type1,p3,l1,nopc,306500,4.625,0.9745,1525.0,240.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,5820.0,CIB,886,EXP,55-64,to_inst,62.80737705,North,direct,0,24.0
ncf,Male,nopre,type3,p4,l1,nopc,736500,3.5,-0.5828,6811.76,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,7301.624987741493,CRIF,806,CIB,45-54,not_inst,98.46256684,south,direct,0,37.05157872662454
cf,Male,nopre,type1,p4,l1,nopc,616500,4.375,0.2585,0.0,360.0,not_neg,not_int,not_lpsm,878000.0,sb,pr,home,1U,6840.0,CIB,820,CIB,55-64,not_inst,70.21640091,North,direct,0,37.0
cf,Joint,nopre,type3,p3,l1,nopc,316500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,3600.0,EQUI,660,EXP,45-54,not_inst,70.53786977721364,North-East,direct,1,37.05157872662454
cf,Male,nopre,type1,p4,l1,nopc,326500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,488000.0,sb,ir,home,1U,6180.0,CRIF,513,CIB,45-54,not_inst,66.9057377,North,direct,1,55.0
ncf,Female,nopre,type1,p3,l1,nopc,136500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,4860.0,CRIF,564,CIB,55-64,not_inst,76.68539326,central,direct,1,41.0
cf,Sex Not Available,nopre,type3,p4,l1,nopc,446500,3.125,-0.3455,4919.42,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,7301.624987741493,CIB,605,EXP,>74,to_inst,80.01792115,south,direct,0,37.05157872662454
cf,Sex Not Available,nopre,type1,p3,l1,nopc,116500,3.99,1.0861,2993.75,240.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,5580.0,CRIF,650,CIB,55-64,to_inst,46.97580645,south,direct,0,12.0
cf,Sex Not Available,nopre,type1,p4,l1,nopc,466500,3.375,-0.323,0.0,360.0,not_neg,not_int,not_lpsm,998000.0,sb,pr,home,1U,7140.0,CIB,704,CIB,25-34,not_inst,46.74348697,south,direct,0,24.0
cf,Male,pre,type1,p3,l1,nopc,196500,4.5,0.897,3412.5,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4740.0,CRIF,526,EXP,45-54,to_inst,65.93959732,North,direct,0,30.0
cf,Male,nopre,type1,p4,l1,nopc,106500,3.75,0.9395,2349.0,180.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,3060.0,CRIF,767,CIB,65-74,to_inst,77.17391304,North,direct,0,32.0
cf,Female,nopre,type1,p3,l1,nopc,256500,4.25,0.4181,7239.75,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,4080.0,CIB,710,CIB,35-44,to_inst,78.20121951,North,direct,0,45.0
cf,Sex Not Available,nopre,type1,p1,l1,nopc,146500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,240.0,CRIF,736,CIB,55-64,to_inst,87.20238095,south,direct,1,27.0
cf,Joint,pre,type1,p3,l1,nopc,176500,4.75,0.4624,2025.0,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,3960.0,CRIF,670,EXP,45-54,to_inst,47.96195652,south,direct,0,33.0
cf,Sex Not Available,nopre,type3,p3,l1,nopc,226500,3.75,0.0611,3098.96,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,4920.0,EXP,731,EXP,35-44,to_inst,84.51492537,south,direct,0,56.0
cf,Sex Not Available,nopre,type1,p1,l1,nopc,366500,4.056273024512094,0.36641514612813764,3409.544460592627,240.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,12960.0,EQUI,707,EXP,35-44,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Sex Not Available,nopre,type1,p3,l1,nopc,76500,4.25,0.9424,2437.5,180.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,6120.0,CRIF,690,EXP,55-64,to_inst,17.46575342,south,direct,0,36.0
cf,Male,pre,type1,p1,l1,nopc,616500,4.125,-0.2159,4732.84,360.0,not_neg,not_int,not_lpsm,1028000.0,sb,pr,home,1U,13860.0,CRIF,766,EXP,25-34,not_inst,59.97081712,south,direct,0,46.0
cf,Joint,nopre,type1,p4,l1,nopc,196500,3.875,1.0313,5917.83,240.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3540.0,CRIF,592,EXP,55-64,to_inst,63.7987013,North,direct,0,45.0
cf,Male,pre,type1,p3,l1,nopc,396500,4.99,0.7475,5638.75,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,5760.0,CIB,542,CIB,35-44,to_inst,68.59861592,North,direct,0,33.0
cf,Sex Not Available,nopre,type1,p4,l1,nopc,116500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,neg_amm,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,1440.0,EQUI,596,EXP,55-64,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Joint,nopre,type1,p3,l1,nopc,236500,3.125,0.1076,2815.48,180.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,10380.0,EXP,856,EXP,45-54,not_inst,66.06145251,North,direct,0,13.0
cf,Joint,nopre,type1,p4,l1,nopc,406500,3.375,-0.2896,303.54,360.0,not_neg,not_int,not_lpsm,518000.0,sb,sr,home,1U,6360.0,CRIF,696,EXP,>74,not_inst,78.47490347,North,direct,0,40.0
cf,Female,nopre,type1,p3,l1,nopc,456500,3.99,0.296,935.0,360.0,not_neg,not_int,not_lpsm,668000.0,sb,pr,home,1U,5160.0,EXP,602,CIB,45-54,not_inst,68.33832335,south,direct,0,43.0
cf,Male,pre,type1,p1,l1,nopc,616500,3.99,0.5794,6653.13,360.0,neg_amm,not_int,not_lpsm,658000.0,sb,pr,home,1U,10380.0,CIB,730,CIB,45-54,to_inst,93.69300912,south,direct,0,36.0
cf,Sex Not Available,nopre,type3,p4,l1,nopc,206500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,4920.0,EQUI,730,EXP,35-44,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Male,nopre,type1,p4,l1,nopc,246500,3.625,-0.0525,35.76,360.0,not_neg,not_int,not_lpsm,998000.0,sb,pr,home,1U,3240.0,CIB,707,CIB,45-54,not_inst,24.6993988,south,direct,0,49.0
cf,Joint,nopre,type3,p3,l1,nopc,266500,3.5,0.0286,9506.25,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,4980.0,EXP,586,EXP,65-74,to_inst,99.44029851,south,direct,0,40.0
cf,Female,nopre,type1,p3,l1,nopc,186500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,1980.0,CRIF,643,CIB,45-54,to_inst,75.2016129,south,direct,1,44.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,266500,3.99,0.5188,6530.0,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,6840.0,CRIF,677,EXP,55-64,to_inst,76.58045977,south,direct,0,46.0
cf,Sex Not Available,pre,type1,p3,l1,nopc,96500,4.625,1.3477,3409.544460592627,360.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,2220.0,CRIF,594,CIB,>74,to_inst,81.77966102,south,direct,0,49.0
cf,Joint,nopre,type1,p3,l1,nopc,336500,5.25,1.4199,9012.5,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,5400.0,CIB,632,EXP,55-64,to_inst,73.47161572,North,direct,0,42.0
ncf,Female,nopre,type1,p4,l1,nopc,846500,4.056273024512094,0.36641514612813764,3409.544460592627,180.0,not_neg,not_int,not_lpsm,1658000.0,sb,pr,home,1U,10980.0,EXP,823,CIB,65-74,to_inst,51.05548854,south,direct,1,50.0
cf,Female,nopre,type1,p3,l1,nopc,236500,4.25,0.0258,6143.75,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,6600.0,CIB,743,CIB,45-54,to_inst,64.26630435,North,direct,0,32.0
cf,Male,pre,type1,p4,l1,nopc,306500,3.625,0.096,1295.0,180.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,27900.0,CIB,868,CIB,25-34,not_inst,77.01005025,south,direct,0,20.0
ncf,Sex Not Available,nopre,type1,p3,l1,nopc,356500,4.375,0.5896,2125.0,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,3060.0,CRIF,552,CIB,55-64,to_inst,67.51893939,south,direct,0,44.0
cf,Sex Not Available,pre,type1,p1,l1,nopc,176500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,2400.0,CRIF,858,CIB,55-64,not_inst,84.85576923,south,direct,1,47.0
ncf,Sex Not Available,pre,type1,p1,l1,nopc,686500,3.875,0.2445,1721.88,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,9240.0,EXP,502,CIB,25-34,to_inst,94.29945055,south,direct,0,39.0
cf,Joint,nopre,type1,p4,l1,nopc,386500,3.5,-0.248,2700.0,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,6420.0,CRIF,600,EXP,65-74,not_inst,47.83415842,south,direct,0,28.0
cf,Joint,nopre,type1,p4,l1,nopc,156500,3.99,-0.0125,4557.85,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,4020.0,CRIF,734,EXP,55-64,to_inst,50.81168831,North,direct,0,39.0
cf,Female,nopre,type1,p3,l2,nopc,166500,4.375,0.9472,2716.88,240.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3060.0,CIB,739,CIB,35-44,to_inst,54.05844156,North,direct,0,44.0
cf,Joint,nopre,type1,p4,l1,nopc,366500,3.75,0.1332,0.0,312.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,5340.0,CIB,572,EXP,25-34,not_inst,70.75289575,North,direct,0,34.0
cf,Joint,nopre,type1,p3,l1,nopc,406500,3.99,0.3177,0.0,360.0,not_neg,int_only,not_lpsm,508000.0,sb,pr,home,1U,7680.0,CIB,816,EXP,45-54,not_inst,80.01968504,south,direct,0,35.0
cf,Joint,nopre,type1,p3,l1,nopc,326500,4.75,0.3568,0.0,360.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,3420.0,CIB,506,EXP,55-64,not_inst,41.43401015,North,direct,0,46.0
cf,Male,nopre,type1,p1,l1,nopc,286500,4.375,0.3836,0.0,360.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,4980.0,EXP,537,CIB,25-34,not_inst,87.34756098,North,direct,0,34.0
ncf,Joint,nopre,type1,p1,l2,nopc,586500,4.25,0.1949,3409.544460592627,360.0,not_neg,not_int,not_lpsm,738000.0,sb,pr,home,1U,13680.0,EXP,738,EXP,35-44,to_inst,79.47154472,North,direct,0,36.0
cf,Joint,nopre,type1,p3,l1,nopc,176500,3.875,0.4906,5712.5,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,3600.0,EXP,843,EXP,65-74,to_inst,61.28472222,North,direct,0,37.0
cf,Joint,nopre,type1,p3,l1,nopc,286500,4.5,0.2889,6874.85,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,6480.0,EXP,839,EXP,65-74,to_inst,68.54066986,North,direct,0,21.0
cf,Joint,nopre,type1,p3,l1,nopc,86500,5.75,1.4802,1150.0,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,3900.0,EXP,720,EXP,65-74,to_inst,51.48809524,North,direct,0,42.0
cf,Joint,nopre,type1,p4,l1,nopc,326500,3.875,0.1749,750.7,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,6540.0,CIB,661,EXP,35-44,to_inst,74.543379,central,direct,0,29.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,306500,4.056273024512094,0.36641514612813764,3409.544460592627,180.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,6420.0,EXP,599,EXP,35-44,to_inst,78.99484536,south,direct,1,45.0
cf,Joint,nopre,type3,p4,l1,nopc,646500,2.75,-0.8296,6317.68,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,2U,7301.624987741493,EXP,539,EXP,25-34,to_inst,88.80494505,North,direct,0,37.05157872662454
cf,Male,nopre,type1,p1,l1,nopc,146500,3.5,0.3463,3850.0,180.0,neg_amm,int_only,not_lpsm,178000.0,sb,pr,home,1U,7320.0,CRIF,778,CIB,55-64,to_inst,82.30337079,North,direct,0,31.0
ncf,Joint,pre,type1,p1,l1,nopc,556500,4.125,0.7175,2467.62,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,8220.0,CRIF,715,EXP,45-54,not_inst,94.64285714,North,direct,0,47.0
cf,Male,nopre,type3,p4,l1,nopc,146500,3.125,-0.4487,1490.71,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,7301.624987741493,CIB,692,CIB,55-64,to_inst,67.20183486,south,direct,0,37.05157872662454
cf,Joint,nopre,type1,p3,l1,nopc,456500,3.99,0.4292,0.0,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,13620.0,CIB,745,EXP,45-54,not_inst,73.86731392,North,direct,0,9.0
cf,Joint,pre,type1,p2,l1,nopc,406500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,12840.0,CRIF,569,EXP,55-64,not_inst,80.01968504,North,direct,1,22.0
cf,Female,nopre,type1,p4,l1,nopc,256500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,6900.0,CIB,767,EXP,35-44,to_inst,83.27922078,central,direct,1,35.0
cf,Sex Not Available,nopre,type3,p3,l1,nopc,256500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,3540.0,EQUI,838,EXP,>74,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Sex Not Available,nopre,type1,p4,l1,nopc,166500,4.056273024512094,0.36641514612813764,3409.544460592627,96.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,8220.0,EQUI,702,EXP,55-64,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Sex Not Available,nopre,type1,p1,l1,nopc,136500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,ir,home,1U,3240.0,EQUI,621,EXP,>74,to_inst,70.53786977721364,south,direct,1,37.05157872662454
cf,Joint,nopre,type1,p1,l1,nopc,106500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,neg_amm,not_int,not_lpsm,128000.0,sb,sr,home,1U,2640.0,EXP,561,EXP,45-54,to_inst,83.203125,North,direct,1,56.0
ncf,Sex Not Available,nopre,type1,p3,l1,nopc,556500,3.625,0.2271,20015.0,360.0,not_neg,not_int,not_lpsm,698000.0,sb,pr,home,1U,14160.0,CIB,752,EXP,45-54,to_inst,79.7277937,south,direct,0,31.0
cf,Joint,nopre,type1,p4,l1,nopc,306500,3.625,0.1271,5399.51,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,4440.0,CIB,608,EXP,65-74,not_inst,65.49145299,North,direct,0,44.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,356500,4.5,0.1853,4244.61,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,4200.0,CIB,680,EXP,35-44,to_inst,73.05327869,south,direct,0,39.0
cf,Male,nopre,type1,p1,l2,nopc,226500,4.375,0.337,1300.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,5160.0,CIB,544,CIB,25-34,not_inst,37.87625418,North,direct,0,35.0
cf,Male,nopre,type1,p3,l1,nopc,276500,3.125,-0.0635,23.87,180.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,6840.0,EXP,760,CIB,55-64,not_inst,35.08883249,south,direct,0,37.0
cf,Male,pre,type1,p1,l1,nopc,476500,4.75,0.481,850.0,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,6480.0,CRIF,502,CIB,35-44,not_inst,85.39426523,North,direct,0,39.0
ncf,Male,pre,type1,p4,l1,nopc,526500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,6780.0,CRIF,544,CIB,35-44,to_inst,85.19417476,south,direct,1,41.0
cf,Female,nopre,type1,p4,l1,nopc,86500,3.75,1.1699,3537.73,240.0,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,2820.0,CIB,701,CIB,45-54,to_inst,48.59550562,North,direct,0,38.0
cf,Male,pre,type3,p4,l1,nopc,256500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,not_lpsm,529023.0658963555,sb,pr,home,1U,0.0,EQUI,612,EXP,55-64,not_inst,70.53786977721364,North,direct,1,37.05157872662454
cf,Sex Not Available,nopre,type1,p4,l1,nopc,146500,4.25,0.8875,4479.42,324.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3840.0,CRIF,851,EXP,35-44,to_inst,67.20183486,south,direct,0,26.0
cf,Joint,nopre,type1,p1,l1,nopc,586500,4.875,1.128,0.0,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,10380.0,CIB,750,EXP,25-34,not_inst,80.56318681,central,direct,0,32.0
ncf,Female,pre,type1,p1,l1,nopc,546500,4.18,0.2248,8000.0,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,6420.0,EXP,666,EXP,45-54,not_inst,96.21478873,North,direct,0,50.0
ncf,Male,nopre,type1,p3,l1,nopc,666500,3.75,0.0838,7086.25,360.0,not_neg,int_only,not_lpsm,1368000.0,sb,pr,home,1U,11340.0,CIB,577,EXP,45-54,to_inst,48.72076023,North,direct,0,37.0
cf,Female,nopre,type1,p4,l1,nopc,206500,4.056273024512094,0.36641514612813764,3409.544460592627,360.0,not_neg,not_int,lpsm,529023.0658963555,sb,pr,home,1U,3120.0,EQUI,665,EXP,65-74,to_inst,70.53786977721364,central,direct,1,37.05157872662454
cf,Male,nopre,type1,p4,l1,nopc,326500,2.875,-0.4038,295.0,360.0,not_neg,not_int,not_lpsm,1718000.0,sb,pr,home,1U,6660.0,CIB,779,CIB,65-74,to_inst,19.00465658,North,direct,0,45.0
