Employment Length,Zip Code,BAD,Amount Requested,Loan Title,State
5 years,112xx,0,3800.0,Credit card refinancing,NY
3 years,331xx,1,8700.0,Debt consolidation,FL
2 years,401xx,0,15800.0,Business,KY
7 years,147xx,0,5000.0,Other,NY
9 years,945xx,0,16000.0,New start,CA
10+ years,870xx,1,10000.0,Debt consolidation,NM
10+ years,900xx,0,20000.0,Debt consolidation,CA
1 year,840xx,0,27000.0,Credit card refinancing,UT
10+ years,883xx,1,15000.0,Debt consolidation,NM
2 years,609xx,0,25000.0,Home improvement,IL
9 years,640xx,0,3000.0,Other,MO
8 years,495xx,1,6000.0,Debt consolidation,MI
10+ years,330xx,0,7500.0,Debt consolidation,FL
1 year,660xx,0,12000.0,Home improvement,KS
8 years,985xx,1,16000.0,Debt consolidation,WA
10+ years,077xx,0,23500.0,Debt consolidation,NJ
2 years,066xx,0,9600.0,Debt consolidation,CT
10+ years,810xx,0,10000.0,Debt consolidation,CO
< 1 year,917xx,0,35000.0,Debt consolidation,CA
10+ years,430xx,0,3725.0,Other,OH
7 years,275xx,0,14000.0,Debt consolidation,NC
8 years,805xx,0,10000.0,Debt consolidation,CO
9 years,306xx,0,4450.0,Credit Card consolidation,GA
4 years,671xx,0,15350.0,Major purchase,KS
6 years,201xx,0,8000.0,Credit card refinancing,VA
< 1 year,210xx,0,14400.0,Debt consolidation,MD
10+ years,014xx,1,15175.0,Home improvement,MA
10+ years,234xx,1,30000.0,Debt consolidation,VA
7 years,851xx,0,20000.0,Debt consolidation,AZ
< 1 year,031xx,0,6000.0,Other,NH
10+ years,183xx,0,24000.0,Debt consolidation,PA
4 years,913xx,0,12500.0,Improve Credit Score ,CA
10+ years,968xx,0,3200.0,Debt consolidation,HI
10+ years,785xx,0,23675.0,BILL CONSOLIDATION,TX
9 years,801xx,0,35000.0,Home improvement,CO
3 years,606xx,0,25000.0,Debt consolidation,IL
< 1 year,551xx,0,20000.0,Debt consolidation,MN
2 years,665xx,0,6000.0,back on track,KS
< 1 year,465xx,0,17500.0,Debt consolidation,IN
3 years,672xx,0,4000.0,Credit card refinancing,KS
3 years,730xx,0,6000.0,Debt consolidation,OK
2 years,287xx,0,16400.0,Debt consolidation,NC
10+ years,955xx,1,35000.0,Home Consolidation,CA
10+ years,800xx,0,5000.0,Debt consolidation,CO
10+ years,441xx,0,10000.0,Credit card refinancing,OH
1 year,700xx,0,2200.0,Car financing,LA
2 years,902xx,0,10000.0,Debt consolidation,CA
< 1 year,038xx,0,14000.0,Credit card refinancing,NH
3 years,300xx,0,7000.0,Debt consolidation,GA
6 years,983xx,0,10000.0,Debt consolidation,WA
10+ years,562xx,0,11175.0,Business,MN
10+ years,282xx,0,6000.0,Home improvement,NC
< 1 year,606xx,0,22000.0,Credit card refinancing,IL
< 1 year,104xx,1,8050.0,Credit card refinancing,NY
6 years,207xx,0,28000.0,Debt consolidation,MD
10+ years,104xx,0,12000.0,Debt consolidation,NY
10+ years,302xx,0,17100.0,Debt consolidation,GA
7 years,871xx,0,18000.0,Debt consolidation,NM
5 years,112xx,0,9000.0,This loan is to pay all my credit cards,NY
4 years,913xx,0,35000.0,Debt consolidation,CA
4 years,750xx,0,5000.0,Home improvement,TX
1 year,809xx,0,2000.0,Credit card refinancing,CO
2 years,925xx,0,20000.0,Debt consolidation,CA
1 year,019xx,0,9000.0,Debt consolidation,MA
1 year,785xx,0,12000.0,Credit card refinancing,TX
7 years,941xx,0,10000.0,Debt consolidation,CA
2 years,445xx,0,12000.0,Debt consolidation,OH
10+ years,301xx,0,12000.0,Credit card refinancing,GA
9 years,743xx,0,10200.0,Debt consolidation,OK
3 years,113xx,1,24000.0,Debt consolidation,NY
10+ years,750xx,0,5000.0,Debt consolidation,TX
1 year,796xx,0,6250.0,debt consolidation,TX
2 years,944xx,1,21000.0,Credit card refinancing,CA
10+ years,860xx,1,12375.0,Debt consolidation,AZ
4 years,347xx,1,15000.0,Debt consolidation,FL
8 years,329xx,0,26650.0,Debt consolidation,FL
2 years,760xx,0,16000.0,Home improvement,TX
7 years,347xx,1,10000.0,Debt consolidation,FL
10+ years,661xx,0,10000.0,Debt consolidation,KS
1 year,852xx,1,10000.0,Debt consolidation,AZ
10+ years,028xx,0,24500.0,Debt consolidation,RI
9 years,900xx,0,9500.0,Other,CA
1 year,907xx,1,15000.0,Vacation,CA
4 years,918xx,0,20000.0,Credit card refinancing,CA
10+ years,865xx,0,15000.0,Home improvement,AZ
< 1 year,320xx,0,35000.0,Debt consolidation,FL
2 years,935xx,0,3600.0,Major purchase,CA
4 years,895xx,0,24000.0,Debt consolidation,NV
2 years,926xx,0,24000.0,Moving Loan,CA
10+ years,322xx,0,6725.0,Debt Consolidation,FL
4 years,949xx,0,21000.0,Credit card refinancing,CA
2 years,740xx,0,6000.0,Credit card refinancing,OK
9 years,959xx,0,35000.0,Debt consolidation,CA
6 years,620xx,1,11200.0,Major purchase,IL
10+ years,411xx,0,19000.0,Credit card refinancing,KY
6 years,920xx,0,18000.0,Great credit looking to consolidate debt,CA
2 years,023xx,0,19000.0,Debt consolidation,MA
10+ years,175xx,0,16725.0,Debt consolidation,PA
3 years,113xx,0,13000.0,Debt consolidation,NY
10+ years,441xx,0,5000.0,Debt consolidation,OH
2 years,295xx,0,6000.0,Credit card refinancing,SC
7 years,481xx,0,25000.0,Home improvement,MI
10+ years,856xx,0,20000.0,Debt consolidation,AZ
8 years,959xx,1,8325.0,Debt Consolidation,CA
7 years,759xx,0,7075.0,Debt consolidation,TX
10+ years,930xx,0,27000.0,Debt consolidation,CA
10+ years,282xx,0,35000.0,Debt consolidation,NC
1 year,760xx,1,7425.0,Debt consolidation,TX
2 years,806xx,0,10400.0,Debt consolidation,CO
1 year,021xx,0,22000.0,Debt consolidation,MA
< 1 year,303xx,1,5000.0,Debt consolidation,GA
7 years,454xx,0,10000.0,Debt consolidation,OH
8 years,451xx,0,3000.0,Debt consolidation,OH
10+ years,287xx,0,3000.0,Debt consolidation,NC
10+ years,335xx,1,21725.0,Debt consolidation,FL
10+ years,852xx,1,20000.0,Debt consolidation,AZ
10+ years,330xx,0,21600.0,Debt consolidation,FL
1 year,294xx,0,7200.0,Credit card refinancing,SC
10+ years,234xx,0,25000.0,Debt consolidation,VA
< 1 year,773xx,0,18775.0,Credit Payoff,TX
10+ years,346xx,0,6000.0,Medical expenses,FL
10+ years,280xx,0,19000.0,Other,NC
1 year,900xx,0,16000.0,Debt consolidation,CA
10+ years,272xx,0,35000.0,Credit card refinancing,NC
2 years,086xx,0,8500.0,Debt consolidation,NJ
9 years,310xx,0,20000.0,Home improvement,GA
10+ years,708xx,0,3000.0,Debt consolidation,LA
10+ years,853xx,0,15000.0,Credit card refinancing,AZ
10+ years,402xx,0,2000.0,Credit card refinancing,KY
3 years,940xx,0,22675.0,Debt consolidation,CA
10+ years,212xx,0,12000.0,Debt consolidation,MD
10+ years,283xx,0,19800.0,Debt consolidation,NC
1 year,296xx,0,7200.0,Debt consolidation,SC
1 year,900xx,0,16000.0,Debt consolidation,CA
10+ years,763xx,0,35000.0,Debt consolidation,TX
3 years,300xx,0,2800.0,Debt consolidation,GA
9 years,460xx,0,2400.0,Home,IN
10+ years,271xx,0,30000.0,Credit card refinancing,NC
8 years,925xx,0,12000.0,Consolidation,CA
6 years,073xx,1,35000.0,Debt consolidation,NJ
10+ years,620xx,0,9000.0,Home improvement ,IL
5 years,070xx,0,11500.0,Debt consolidation,NJ
10+ years,802xx,0,1450.0,Swimming Pool liner,CO
4 years,577xx,1,14000.0,Credit card refinancing,SD
10+ years,787xx,0,18000.0,Credit card refinancing,TX
3 years,480xx,0,5500.0,Debt consolidation,MI
8 years,109xx,0,25000.0,Credit card refinancing,NY
10+ years,356xx,1,30000.0,Debt consolidation,AL
10+ years,300xx,0,6500.0,Debt consolidation,GA
10+ years,748xx,0,4200.0,Debt consolidation,OK
10+ years,530xx,0,7900.0,Debt consolidation,WI
1 year,328xx,1,20000.0,Home buying,FL
3 years,368xx,1,20000.0,Debt consolidation,AL
2 years,662xx,0,16000.0,debt consolidation,KS
1 year,301xx,0,10000.0,Debt consolidation,GA
2 years,789xx,0,25000.0,Credit card refinancing,TX
9 years,761xx,0,9000.0,Debt consolidation,TX
10+ years,626xx,0,22375.0,Debt consolidation,IL
4 years,606xx,0,22000.0,Debt consolidation,IL
10+ years,913xx,0,5000.0,Debt consolidation,CA
3 years,481xx,0,12000.0,Debt consolidation,MI
2 years,305xx,0,10000.0,Medical expenses,GA
< 1 year,010xx,0,4000.0,Car,MA
9 years,945xx,0,30000.0,Home improvement,CA
7 years,432xx,0,8000.0,Debt consolidation,OH
3 years,950xx,1,8000.0,New Roof / Addition,CA
10+ years,462xx,0,9000.0,Debt consolidation,IN
6 years,794xx,0,16575.0,Debt consolidation,TX
< 1 year,925xx,0,7000.0,Debt consolidation,CA
10+ years,783xx,0,13000.0,Debt consolidation,TX
10+ years,294xx,0,23000.0,Debt consolidation,SC
10+ years,347xx,0,18000.0,Freedom ,FL
7 years,296xx,0,4800.0,Home improvement,SC
10+ years,329xx,0,20000.0,Debt consolidation,FL
7 years,604xx,0,8000.0,Credit card pay off,IL
< 1 year,802xx,0,7000.0,Credit card refinancing,CO
2 years,944xx,0,18000.0,Other,CA
9 years,891xx,0,7125.0,Debt consolidation,NV
2 years,761xx,0,5500.0,Engagement Ring,TX
3 years,176xx,0,6000.0,Credit card refinancing,PA
10+ years,074xx,0,28000.0,Credit card refinancing,NJ
10+ years,117xx,0,5000.0,Debt consolidation,NY
4 years,349xx,0,20000.0,Credit card refinancing,FL
10+ years,334xx,0,25000.0,Credit card refinancing,FL
1 year,853xx,0,15475.0,Debt consolidation,AZ
2 years,752xx,0,8000.0,Credit card refinancing,TX
10+ years,082xx,0,8000.0,Debt consolidation,NJ
10+ years,319xx,0,11000.0,Debt consolidation,GA
10+ years,720xx,0,4000.0,Home improvement,AR
< 1 year,731xx,0,5000.0,Home improvement,OK
2 years,312xx,0,9800.0,Debt consolidation,GA
6 years,032xx,0,15200.0,Consolidation May 2011,NH
4 years,482xx,0,12000.0,Credit card refinancing,MI
4 years,272xx,0,4000.0,Home improvement,NC
4 years,928xx,0,20000.0,Debt consolidation,CA
9 years,496xx,0,8000.0,Debt consolidation,MI
10+ years,853xx,1,10000.0,Debt consolidation,AZ
10+ years,750xx,1,20250.0,Debt consolidation,TX
3 years,900xx,1,19000.0,Debt consolidation,CA
9 years,953xx,0,10400.0,Credit card refinancing,CA
2 years,900xx,0,30000.0,Home Improvement Loan,CA
< 1 year,900xx,0,20000.0,Credit card refinancing,CA
9 years,946xx,0,25000.0,Home improvement,CA
5 years,917xx,0,12000.0,Other,CA
< 1 year,853xx,0,7000.0,Debt consolidation,AZ
10+ years,980xx,0,20000.0,Debt consolidation,WA
10+ years,080xx,0,3500.0,Home improvement,NJ
2 years,606xx,0,5600.0,Major purchase,IL
7 years,325xx,0,8250.0,Debt consolidation,FL
10+ years,750xx,0,18000.0,Credit card refinancing,TX
4 years,088xx,0,12000.0,Credit card refinancing,NJ
4 years,785xx,0,14000.0,Credit card refinancing,TX
2 years,928xx,0,26000.0,Debt consolidation,CA
< 1 year,021xx,0,10000.0,Credit card refinancing,MA
10+ years,714xx,0,10000.0,Debt consolidation,LA
10+ years,300xx,0,5000.0,Debt consolidation,GA
6 years,910xx,0,25000.0,Debt consolidation,CA
3 years,130xx,0,35000.0,Debt consolidation,NY
10+ years,212xx,0,24000.0,Credit card refinancing,MD
10+ years,773xx,0,11000.0,Credit card refinancing,TX
1 year,232xx,0,20000.0,Home improvement ,VA
9 years,306xx,0,15075.0,Credit Cards,GA
2 years,228xx,0,5000.0,Medical expenses,VA
< 1 year,972xx,0,35000.0,Debt consolidation,OR
10+ years,711xx,0,13600.0,Debt consolidation,LA
6 years,156xx,0,8400.0,Debt consolidation,PA
2 years,972xx,0,2000.0,Credit card refinancing,OR
5 years,467xx,0,28000.0,Credit card refinancing,IN
7 years,796xx,0,16000.0,Debt consolidation,TX
1 year,920xx,1,11500.0,Business,CA
6 years,324xx,0,8000.0,Better Situation,FL
3 years,173xx,0,15000.0,Debt consolidation,PA
5 years,483xx,0,28000.0,Debt consolidation,MI
3 years,302xx,1,19000.0,Credit Card Refinance,GA
< 1 year,232xx,0,40000.0,Debt consolidation,VA
10+ years,945xx,0,35000.0,Home improvement,CA
10+ years,544xx,0,18250.0,Credit Card,WI
10+ years,077xx,1,32175.0,Debt consolidation,NJ
8 years,922xx,0,18000.0,Debt consolidation,CA
