Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,property_Area,BAD
Female,No,0,Graduate,No,2378.0,0.0,9.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,4708.0,1387.0,150.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3707.0,3166.0,182.0,342.0,1.0,Rural,0
Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,3283.0,2035.0,148.0,360.0,1.0,Urban,0
Female,Yes,0,Graduate,No,4583.0,0.0,112.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,3750.0,0.0,116.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3166.0,2064.0,104.0,360.0,0.0,Urban,1
Male,No,2,Graduate,No,4923.0,0.0,166.0,360.0,0.0,Semiurban,0
Female,No,0,Graduate,Yes,7441.0,0.0,194.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,2873.0,1872.0,132.0,360.0,0.0,Semiurban,1
Male,Yes,3+,Graduate,Yes,5677.0,1424.0,100.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,6133.0,3906.0,324.0,360.0,1.0,Urban,0
Male,Yes,2,Not Graduate,No,3333.0,2000.0,99.0,360.0,0.8421985815602837,Semiurban,0
Female,No,0,Graduate,No,3418.0,0.0,135.0,360.0,1.0,Rural,1
Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,3418.0,0.0,127.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,1926.0,1851.0,50.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,4167.0,1447.0,158.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,8333.0,0.0,246.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,0.8421985815602837,Urban,0
Male,No,0,Graduate,No,2014.0,1929.0,74.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,3229.0,2739.0,110.0,360.0,1.0,Urban,0
Male,Yes,3+,Not Graduate,No,2647.0,1587.0,173.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,7578.0,1010.0,175.0,342.0,1.0,Semiurban,0
Male,Yes,0,Graduate,Yes,5503.0,4490.0,70.0,342.0,1.0,Semiurban,0
Male,Yes,1,Not Graduate,No,3399.0,1640.0,111.0,180.0,1.0,Urban,0
Male,No,0,Graduate,No,3182.0,2917.0,161.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,Yes,9963.0,0.0,180.0,360.0,1.0,Rural,0
Male,Yes,2,Not Graduate,No,2309.0,1255.0,125.0,360.0,0.0,Rural,1
Male,No,0,Graduate,No,4895.0,0.0,102.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,2995.0,0.0,60.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,4625.0,2857.0,111.0,12.0,0.8421985815602837,Urban,0
Male,Yes,1,Not Graduate,No,4554.0,1229.0,158.0,360.0,1.0,Urban,0
Male,Yes,0,Not Graduate,Yes,4735.0,0.0,138.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,16692.0,0.0,110.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,Yes,2577.0,3750.0,152.0,360.0,1.0,Rural,0
Male,Yes,3+,Graduate,No,5703.0,0.0,128.0,360.0,1.0,Urban,0
Female,Yes,0,Graduate,No,2330.0,4486.0,100.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,5780.0,0.0,192.0,360.0,1.0,Urban,0
Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,0
Male,Yes,2,Graduate,No,3900.0,0.0,90.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,4945.0,0.0,146.41216216216216,360.0,0.0,Rural,1
Male,Yes,2,Graduate,Yes,1600.0,20000.0,239.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,0
Male,Yes,3+,Not Graduate,No,3850.0,983.0,100.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,No,5405.5408496732025,0.0,125.0,360.0,1.0,Urban,0
Male,Yes,3+,Not Graduate,No,4755.0,0.0,95.0,342.0,0.0,Semiurban,1
Male,No,0,Not Graduate,Yes,2583.0,2167.0,104.0,360.0,1.0,Rural,0
Female,No,0,Not Graduate,No,2720.0,0.0,80.0,342.0,0.0,Urban,1
Female,No,0,Graduate,No,2500.0,0.0,67.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,2764.0,1459.0,110.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,1836.0,33837.0,90.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,Yes,3466.0,1210.0,130.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,11417.0,1126.0,225.0,360.0,1.0,Urban,0
Male,Yes,1,Graduate,Yes,10000.0,0.0,155.0,360.0,1.0,Rural,1
Female,Yes,0,Graduate,Yes,5500.0,0.0,105.0,360.0,0.0,Rural,1
Male,Yes,1,Graduate,No,9538.0,0.0,187.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,5941.0,4232.0,296.0,360.0,1.0,Semiurban,0
Female,No,1,Not Graduate,No,4606.0,0.0,81.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,2491.0,2054.0,104.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,Yes,4583.0,2083.0,160.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,4817.0,923.0,120.0,180.0,1.0,Urban,0
Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,10750.0,0.0,312.0,360.0,1.0,Urban,0
Male,Yes,1,Graduate,No,6065.0,2004.0,250.0,360.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,2000.0,0.0,146.41216216216216,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,4009.0,1717.0,116.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,No,6782.0,0.0,146.41216216216216,360.0,0.8421985815602837,Urban,1
Female,Yes,2,Not Graduate,No,210.0,2917.0,98.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,4750.0,2333.0,130.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,6080.0,2569.0,182.0,360.0,0.8421985815602837,Rural,1
Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,1
Male,Yes,0,Not Graduate,No,3572.0,4114.0,152.0,342.0,0.0,Rural,1
Female,No,1,Graduate,No,2600.0,0.0,160.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,4191.0,0.0,120.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,0
Male,Yes,1,Graduate,No,3400.0,2500.0,173.0,360.0,1.0,Semiurban,0
Male,Yes,2,Not Graduate,No,2192.0,1742.0,45.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,2947.0,1603.0,146.41216216216216,360.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,1800.0,2934.0,93.0,360.0,0.0,Urban,1
Male,No,0,Not Graduate,No,2927.0,2405.0,111.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,5955.0,5625.0,315.0,360.0,1.0,Urban,0
Male,No,0,Graduate,Yes,6400.0,0.0,200.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,3125.0,2583.0,170.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,2383.0,2138.0,58.0,360.0,0.8421985815602837,Rural,0
Male,Yes,2,Graduate,No,8333.0,3167.0,165.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1.0,Semiurban,1
Male,Yes,3+,Graduate,No,23803.0,0.0,370.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,9328.0,0.0,188.0,180.0,1.0,Rural,0
Female,No,0,Graduate,No,2138.0,0.0,99.0,360.0,0.0,Semiurban,1
Male,No,1,Graduate,No,11250.0,0.0,196.0,360.0,0.8421985815602837,Semiurban,1
Female,No,0,Graduate,No,4124.0,0.0,115.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3708.0,2569.0,173.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,6250.0,0.0,128.0,360.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,0.0,Urban,1
Male,Yes,2,Graduate,No,4400.0,0.0,127.0,360.0,0.0,Semiurban,1
Female,No,0,Graduate,No,2917.0,0.0,84.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,Yes,9833.0,1833.0,182.0,180.0,1.0,Urban,0
Female,No,0,Graduate,No,1811.0,1666.0,54.0,360.0,1.0,Urban,0
Male,Yes,1,Not Graduate,No,2510.0,1983.0,140.0,180.0,1.0,Urban,1
Male,Yes,3+,Graduate,No,3400.0,2500.0,123.0,360.0,0.0,Rural,1
Male,Yes,2,Graduate,No,5819.0,5000.0,120.0,360.0,1.0,Rural,0
Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,1625.0,1803.0,96.0,360.0,1.0,Urban,0
Male,No,0,Not Graduate,No,3189.0,2598.0,120.0,342.0,1.0,Rural,0
Male,No,0,Graduate,Yes,11000.0,0.0,83.0,360.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,3074.0,1800.0,123.0,360.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,0
Female,No,0,Not Graduate,No,3400.0,0.0,95.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,6000.0,0.0,156.0,360.0,1.0,Urban,0
Male,Yes,2,Graduate,Yes,16525.0,1014.0,150.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,2214.0,1398.0,85.0,360.0,0.8421985815602837,Urban,0
Male,No,1,Graduate,No,3062.0,1987.0,111.0,180.0,0.0,Urban,1
Male,No,0,Graduate,No,2500.0,20000.0,103.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3497.0,1964.0,116.0,360.0,1.0,Rural,0
Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1.0,Semiurban,0
Female,No,1,Graduate,No,2876.0,1560.0,90.0,360.0,1.0,Urban,0
Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,2083.0,3150.0,128.0,360.0,1.0,Semiurban,0
Male,Yes,3+,Graduate,No,39999.0,0.0,600.0,180.0,0.0,Semiurban,0
Female,No,1,Graduate,No,3812.0,0.0,112.0,360.0,1.0,Rural,0
Female,No,0,Graduate,Yes,3463.0,0.0,122.0,360.0,0.8421985815602837,Urban,0
Male,No,0,Graduate,No,8750.0,4167.0,308.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2500.0,3796.0,120.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,2833.0,0.0,71.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,19730.0,5266.0,570.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,Yes,2395.0,0.0,146.41216216216216,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,3875.0,0.0,67.0,360.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,4200.0,1430.0,129.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,10408.0,0.0,259.0,360.0,1.0,Urban,0
Female,Yes,1,Graduate,No,4608.0,2845.0,140.0,180.0,1.0,Semiurban,0
Male,Yes,1,Not Graduate,No,2492.0,2375.0,146.41216216216216,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3887.0,2669.0,162.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3333.0,2500.0,128.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,Yes,2726.0,0.0,106.0,360.0,0.0,Semiurban,1
Male,Yes,2,Not Graduate,Yes,6383.0,1000.0,187.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,5935.0,0.0,133.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3013.0,3033.0,95.0,300.0,0.8421985815602837,Urban,0
Male,Yes,3+,Not Graduate,No,3095.0,0.0,113.0,360.0,1.0,Rural,0
Male,Yes,3+,Graduate,No,51763.0,0.0,700.0,300.0,1.0,Urban,0
Male,Yes,2,Graduate,No,9703.0,0.0,112.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,4333.0,2451.0,110.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3927.0,800.0,112.0,360.0,1.0,Semiurban,0
Male,Yes,0,Not Graduate,No,2600.0,1700.0,107.0,360.0,1.0,Rural,0
Male,No,0,Not Graduate,No,2755.0,0.0,65.0,300.0,1.0,Rural,1
Male,Yes,0,Graduate,No,5667.0,2667.0,180.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,3232.0,1950.0,108.0,360.0,1.0,Rural,0
Male,No,0,Not Graduate,Yes,5800.0,0.0,132.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,6875.0,0.0,200.0,360.0,1.0,Semiurban,0
Male,Yes,1,Not Graduate,No,1958.0,2436.0,131.0,360.0,1.0,Rural,0
Male,Yes,1,Not Graduate,No,5333.0,1131.0,186.0,360.0,0.8421985815602837,Urban,0
Male,Yes,1,Graduate,Yes,10513.0,3850.0,160.0,180.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,2301.0,985.7999878,78.0,180.0,1.0,Urban,0
Male,Yes,2,Graduate,Yes,6000.0,0.0,205.0,240.0,1.0,Semiurban,1
Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,1
Male,Yes,2,Graduate,No,2045.0,1619.0,101.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,3155.0,1779.0,140.0,360.0,1.0,Semiurban,0
Male,Yes,1,Not Graduate,No,2653.0,1500.0,113.0,180.0,0.0,Rural,1
Female,Yes,2,Graduate,No,4283.0,2383.0,127.0,360.0,0.8421985815602837,Semiurban,0
Male,No,0,Graduate,No,2479.0,0.0,59.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,2383.0,3334.0,172.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,4301.0,0.0,118.0,360.0,1.0,Urban,0
Male,No,1,Graduate,No,37719.0,0.0,152.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,0
Male,Yes,2,Graduate,No,2583.0,2330.0,125.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,5488.0,0.0,125.0,360.0,1.0,Rural,0
Male,No,0,Graduate,No,2987.0,0.0,88.0,360.0,0.0,Semiurban,1
Male,Yes,0,Not Graduate,No,3010.0,3136.0,146.41216216216216,360.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,1863.0,1041.0,98.0,360.0,1.0,Semiurban,0
Male,No,2,Graduate,No,4354.0,0.0,136.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1.0,Urban,0
Male,Yes,2,Graduate,No,7583.0,0.0,187.0,360.0,1.0,Urban,0
Male,Yes,0,Not Graduate,Yes,4344.0,736.0,87.0,360.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,2717.0,0.0,60.0,180.0,1.0,Urban,0
Male,Yes,1,Graduate,Yes,7787.0,0.0,240.0,360.0,1.0,Urban,0
Female,Yes,1,Graduate,Yes,11500.0,0.0,286.0,360.0,0.0,Urban,1
Male,Yes,0,Not Graduate,No,2875.0,1750.0,105.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3000.0,3416.0,56.0,180.0,1.0,Semiurban,0
Female,No,0,Graduate,No,3692.0,0.0,93.0,360.0,0.8421985815602837,Rural,0
Male,Yes,0,Graduate,No,2333.0,2417.0,136.0,360.0,1.0,Urban,0
Male,Yes,3+,Not Graduate,No,3522.0,0.0,81.0,180.0,1.0,Rural,1
Female,Yes,0,Graduate,No,4333.0,2451.0,110.0,360.0,1.0,Urban,1
Female,No,0,Graduate,No,2900.0,0.0,71.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,3859.0,0.0,96.0,360.0,1.0,Semiurban,0
Male,Yes,3+,Graduate,No,3430.0,1250.0,128.0,360.0,0.0,Semiurban,1
Female,Yes,2,Graduate,No,14866.0,0.0,70.0,360.0,1.0,Urban,0
Male,Yes,3+,Graduate,Yes,5266.0,1774.0,187.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,4547.0,0.0,115.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3593.0,4266.0,132.0,180.0,0.0,Rural,1
Male,Yes,2,Graduate,No,5000.0,0.0,72.0,360.0,0.0,Semiurban,1
Male,Yes,1,Not Graduate,No,5285.0,1430.0,161.0,360.0,0.0,Semiurban,0
Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0.0,Semiurban,1
Male,Yes,1,Graduate,No,5500.0,1260.0,170.0,360.0,1.0,Rural,0
Female,No,1,Not Graduate,Yes,3867.0,0.0,62.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5829.0,0.0,138.0,360.0,1.0,Rural,0
Female,No,0,Graduate,No,8333.0,0.0,280.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,2130.0,6666.0,70.0,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2620.0,2223.0,150.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,No,3676.0,4301.0,172.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,6000.0,2250.0,265.0,360.0,0.8421985815602837,Semiurban,1
Female,Yes,0,Graduate,No,4180.0,2306.0,182.0,360.0,1.0,Semiurban,0
Male,Yes,2,Not Graduate,No,3083.0,2168.0,126.0,360.0,1.0,Urban,0
Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,Yes,15759.0,0.0,55.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,1500.0,1800.0,103.0,360.0,0.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2253.0,2033.0,110.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,4600.0,0.0,73.0,180.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,6700.0,1750.0,230.0,300.0,1.0,Semiurban,0
Male,Yes,0,Not Graduate,No,3000.0,1666.0,100.0,480.0,0.0,Urban,1
Male,Yes,0,Graduate,No,14683.0,2100.0,304.0,360.0,1.0,Rural,1
Male,No,0,Graduate,No,14999.0,0.0,242.0,360.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,3250.0,0.0,170.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2920.0,16.12000084,87.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,3153.0,1560.0,134.0,360.0,1.0,Urban,0
Male,Yes,1,Graduate,No,1880.0,0.0,61.0,360.0,0.8421985815602837,Rural,1
Female,No,1,Not Graduate,No,5191.0,0.0,132.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,3691.0,0.0,110.0,360.0,1.0,Rural,0
Male,Yes,3+,Graduate,No,15000.0,0.0,300.0,360.0,1.0,Rural,0
Female,Yes,0,Not Graduate,No,2149.0,3237.0,178.0,360.0,0.0,Semiurban,1
Male,No,0,Graduate,No,9166.0,0.0,244.0,360.0,1.0,Urban,1
Male,Yes,3+,Graduate,Yes,10139.0,0.0,260.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,2014.0,2925.0,113.0,360.0,1.0,Urban,1
Male,No,1,Not Graduate,No,2679.0,1302.0,94.0,360.0,1.0,Semiurban,0
Male,Yes,0,Graduate,Yes,9560.0,0.0,191.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,645.0,3683.0,113.0,480.0,1.0,Rural,0
Male,No,0,Graduate,No,5815.0,3666.0,311.0,360.0,1.0,Rural,1
